drug_name,period,value_reported,currency,unit,revenue_scope,geography,source_url,source_quote,derivation,series_role
Letairis,2007,21.0,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000119312509012066/dex991.htm,"For 2008, Letairis sales increased five-fold to $112.9 million from $21.0 million in 2007.",direct_reported,peak_benchmark
Letairis,2008,112.9,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000119312509012066/dex991.htm,"For 2008, Letairis sales increased five-fold to $112.9 million from $21.0 million in 2007.",direct_reported,peak_benchmark
Letairis,2009,183.9,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000119312510013009/dex991.htm,"For 2009, Letairis sales increased 63 percent to $183.9 million from $112.9 million in 2008.",direct_reported,peak_benchmark
Letairis,2010,240.3,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000119312511013913/dex991.htm,"For 2010, Letairis sales increased 31 percent to $240.3 million from $183.9 million in 2009.",direct_reported,peak_benchmark
Letairis,2011,293.4,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000119312512036780/d291114dex991.htm,"For 2011, Letairis sales increased 22 percent to $293.4 million from $240.3 million in 2010.",direct_reported,peak_benchmark
Letairis,2012,410.1,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209513000005/exhibit991earningspressrel.htm,"For 2012, Letairis sales increased 40 percent to $410.1 million from $293.4 million in 2011.",direct_reported,peak_benchmark
Letairis,2013,519.966,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209514000013/R42.htm,"Letairis | 519,966 | 410,054 | 293,426 (USD thousands)",direct_reported,peak_benchmark
Letairis,2014,595,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209515000008/R41.htm,"Letairis | 595 | 520 | 410 (USD millions)",direct_reported,peak_benchmark
Letairis,2015,700,USD,millions,U.S.,United States,https://www.gilead.com/news/news-details/2016/gilead-sciences-announces-fourth-quarter-and-full-year-2015-financial-results,"Letairis | 192 | 181 | 700 | 595 (USD millions)",direct_reported,peak_benchmark
Letairis,2016,819,USD,millions,U.S.,United States,https://www.gilead.com/news/news-details/2017/gilead-sciences-announces-fourth-quarter-and-full-year-2016-financial-results,"Letairis | 226 | 192 | 819 | 700 (USD millions)",direct_reported,peak_benchmark
Letairis,2017,887,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209518000008/R24.htm,"Letairis | 887 | 819 | 700 (USD millions)",direct_reported,peak_benchmark
Letairis,2018,943,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209519000006/R11.htm,"Letairis | 943 | 887 | 819 (USD millions)",direct_reported,peak_benchmark
Letairis,2019,618,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209520000006/R32.htm,"Letairis | 618 | 943 | 887 (USD millions)",direct_reported,peak_benchmark
Letairis,2020,314,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209523000007/R12.htm,"Letairis | 196 | 206 | 314 (2022, 2021, 2020; USD millions)",direct_reported,peak_benchmark
Letairis,2021,206,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209523000007/R12.htm,"Letairis | 196 | 206 | 314 (2022, 2021, 2020; USD millions)",direct_reported,peak_benchmark
Letairis,2022,196,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209523000007/R12.htm,"Letairis | 196 | 206 | 314 (2022, 2021, 2020; USD millions)",direct_reported,peak_benchmark
Letairis,2023,142,USD,millions,U.S.,United States,https://www.sec.gov/Archives/edgar/data/882095/000088209524000003/exhibit991earningspressrel.htm,"Letairis - U.S. | 142 | 196 (USD millions)",direct_reported,peak_benchmark
Revatio,2007,201,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000119312510042425/dex13.htm,"Revatio | Pulmonary arterial hypertension | 450 | 336 | 201 (2009, 2008, 2007; USD millions)",direct_reported,peak_benchmark
Revatio,2008,336,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000119312510042425/dex13.htm,"Revatio | Pulmonary arterial hypertension | 450 | 336 | 201 (2009, 2008, 2007; USD millions)",direct_reported,peak_benchmark
Revatio,2009,450,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000119312510042425/dex13.htm,"Revatio | Pulmonary arterial hypertension | 450 | 336 | 201 (2009, 2008, 2007; USD millions)",direct_reported,peak_benchmark
Revatio,2010,481,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800313000006/R129.htm,"Revatio revenues | 534 | 535 | 481 (2012, 2011, 2010; USD millions)",direct_reported,peak_benchmark
Revatio,2011,535,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800313000006/R129.htm,"Revatio revenues | 534 | 535 | 481 (2012, 2011, 2010; USD millions)",direct_reported,peak_benchmark
Revatio,2012,534,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800313000006/R129.htm,"Revatio revenues | 534 | 535 | 481 (2012, 2011, 2010; USD millions)",direct_reported,peak_benchmark
Revatio,2013,307,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800314000018/R39.htm,"Revatio | 307 | 534 | 535 (2013, 2012, 2011; USD millions)",direct_reported,peak_benchmark
Revatio,2014,276,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800316000077/R27.htm,"Revatio | 260 | 276 | 307 (2015, 2014, 2013; USD millions)",direct_reported,peak_benchmark
Revatio,2015,260,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800316000077/R27.htm,"Revatio | 260 | 276 | 307 (2015, 2014, 2013; USD millions)",direct_reported,peak_benchmark
Revatio,2016,285,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800317000014/R27.htm,"Revatio | 285 | 260 | 276 (2016, 2015, 2014; USD millions)",direct_reported,peak_benchmark
Revatio,2017,252,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/R43.htm,"Revatio | Pulmonary arterial hypertension | 144 | 227 | 252 (2019, 2018, 2017; USD millions)",direct_reported,peak_benchmark
Revatio,2018,227,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/R43.htm,"Revatio | Pulmonary arterial hypertension | 144 | 227 | 252 (2019, 2018, 2017; USD millions)",direct_reported,peak_benchmark
Revatio,2019,144,USD,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/78003/000007800320000014/R43.htm,"Revatio | Pulmonary arterial hypertension | 144 | 227 | 252 (2019, 2018, 2017; USD millions)",direct_reported,peak_benchmark
Flolan,2010,195,GBP,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/1131399/000119163812000433/gsk201203286k.htm,"Flolan | 195 (2010; GBP millions)",direct_reported,partial_context
Flolan,2011,179,GBP,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/1131399/000119163812000433/gsk201203286k.htm,"Flolan | 179 (2011; GBP millions)",direct_reported,partial_context
Flolan,2012,135,GBP,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/1131399/000119312514077405/d682829dex152.htm,"Flolan | 147 | 135 (2013, 2012; GBP millions)",direct_reported,partial_context
Flolan,2013,147,GBP,millions,Worldwide,Worldwide,https://www.sec.gov/Archives/edgar/data/1131399/000119312514077405/d682829dex152.htm,"Flolan | 147 | 135 (2013, 2012; GBP millions)",direct_reported,partial_context
