period,value_reported,source_url,source_quote,derivation,context,source_type,source_unit,source_value_reported
2015Q1,278.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q1/Sales_of_Key_Products_Franchises_1Q2015.pdf,"INVOKANA / INVOKAMET WW first quarter 2015 and 2014, USD millions, percentage-change columns omitted | 278 | 94",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,278.0
2015Q2,318.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q2/Sales_of_Key_Products_Franchises_2Q2015.pdf,"INVOKANA / INVOKAMET WW second quarter 2015 and 2014 then six months 2015 and 2014, USD millions, percentage-change columns omitted | 318 | 117 | 596 | 211",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,318.0
2015Q3,340.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q3/Sales_of_Key_Products_Franchises_3Q2015.pdf,"INVOKANA/INVOKAMET WW third quarter 2015 and 2014 then nine months 2015 and 2014, USD millions, percentage-change columns omitted | 340 | 174 | 936 | 385",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,340.0
2015Q4,372.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q4/Sales_of_Key_Products_Franchises_4Q2015.pdf,"INVOKANA / INVOKAMET WW fourth quarter 2015 and 2014 then twelve months 2015 and 2014, USD millions, percentage-change columns omitted | 372 | 201 | 1,308 | 586",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,372.0
2016Q1,325.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q1/Sales_of_Key_Products_Franchises_1Q2016.pdf,"INVOKANA / INVOKAMET WW first quarter 2016 and 2015, USD millions, percentage-change columns omitted | 325 | 278",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,325.0
2016Q2,383.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q2/Sales_of_Key_Products_Franchises_2Q2016.pdf,"INVOKANA/INVOKAMET WW second quarter 2016 and 2015 then six months 2016 and 2015, USD millions, percentage-change columns omitted | 383 | 318 | 708 | 596",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,383.0
2016Q3,328.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q3/Sales_of_Key_Products_Franchises_3Q2016.pdf,"INVOKANA / INVOKAMET WW third quarter 2016 and 2015 then nine months 2016 and 2015, USD millions, percentage-change columns omitted | 328 | 340 | 1,036 | 936",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,328.0
2016Q4,371.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q4/Sales_of_Key_Products_Franchises_4Q2016.pdf,"INVOKANA / INVOKAMET WW fourth quarter 2016 and 2015 then twelve months 2016 and 2015, USD millions, percentage-change columns omitted | 371 | 372 | 1,407 | 1,308",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,371.0
2017Q1,284.0,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q1/Sales_of_Key_Products_Franchises_1Q2017.pdf,"INVOKANA / INVOKAMET WW first quarter 2017 and 2016, USD millions, percentage-change columns omitted | 284 | 325",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,284.0
2017Q2,295.0,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q2/Sales_of_Key_Products_Franchises_2Q2017.pdf,"INVOKANA/INVOKAMET WW second quarter 2017 and 2016 then six months 2017 and 2016, USD millions, percentage-change columns omitted | 295 | 383 | 579 | 708",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,295.0
2017Q3,265.0,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q3/Sales_of_Key_Products_Franchises_3Q2017.pdf,"INVOKANA / INVOKAMET WW third quarter 2017 and 2016 then nine months 2017 and 2016, USD millions, percentage-change columns omitted | 265 | 328 | 844 | 1,036",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,265.0
2017Q4,267.0,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q4/Sales_of_Key_Products_Franchises_4Q2017.pdf,"INVOKANA / INVOKAMET WW fourth quarter 2017 and 2016 then twelve months 2017 and 2016, USD millions, percentage-change columns omitted | 267 | 371 | 1,111 | 1,407",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,267.0
2018Q1,248.0,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q1/Sales_of_Key_Products_Franchises_1Q2018.pdf,"INVOKANA / INVOKAMET WW first quarter 2018 and 2017, USD millions, percentage-change columns omitted | 248 | 284",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,248.0
2018Q2,215.0,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q2/Sales_of_Key_Products_Franchises_2Q2018.pdf,"INVOKANA / INVOKAMET WW second quarter 2018 and 2017 then six months 2018 and 2017, USD millions, percentage-change columns omitted | 215 | 295 | 463 | 579",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,215.0
2018Q3,190.0,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q3/3Q2018_Sales_of_Key_Products_Franchises_3Q2018.pdf,"INVOKANA / INVOKAMET WW third quarter 2018 and 2017 then nine months 2018 and 2017, USD millions, percentage-change columns omitted | 190 | 265 | 653 | 844",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,190.0
2018Q4,228.0,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q4/Sales-of-Key-Products-Franchises-4Q2018.pdf,"INVOKANA / INVOKAMET WW fourth quarter 2018 and 2017 then twelve months 2018 and 2017, USD millions, percentage-change columns omitted | 228 | 267 | 881 | 1,111",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,228.0
2019Q1,202.0,https://s203.q4cdn.com/636242992/files/doc_financials/2020/q1/Sales-of-Key-Products-Franchises-1Q2020.pdf,"INVOKANA / INVOKAMET WW | 202.0 (the first-quarter 2019 column of the first quarter 2020 exhibit, USD millions)",direct_prior_year_column,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,202.0
2019Q2,177.0,https://s203.q4cdn.com/636242992/files/doc_financials/2019/q2/Sales-of-Key-Products-Franchises-2Q2019.pdf,"INVOKANA / INVOKAMET WW second quarter 2019 and 2018 then six months 2019 and 2018, USD millions, percentage-change columns omitted | 177 | 215 | 379 | 463",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,177.0
