period,value_reported,source_url,source_quote,derivation,context,source_type,source_unit,source_value_reported
2014Q3,1782.0,https://s203.q4cdn.com/636242992/files/doc_financials/2014/q3/Sales_of_Key_Products_Franchises_3Q2014.pdf,"REMICADE WW third quarter 2014 and 2013 then nine months 2014 and 2013, USD millions, percentage-change columns omitted | 1,782 | 1,689 | 5,196 | 4,961",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1782.0
2014Q4,1672.0,https://s203.q4cdn.com/636242992/files/doc_financials/2014/q4/Sales_of_Key_Products_Franchises_4Q2014.pdf,"REMICADE WW fourth quarter 2014 and 2013 then twelve months 2014 and 2013, USD millions, percentage-change columns omitted | 1,672 | 1,712 | 6,868 | 6,673",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1672.0
2015Q1,1600.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q1/Sales_of_Key_Products_Franchises_1Q2015.pdf,"REMICADE WW first quarter 2015 and 2014, USD millions, percentage-change columns omitted | 1,600 | 1,610",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1600.0
2015Q2,1668.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q2/Sales_of_Key_Products_Franchises_2Q2015.pdf,"REMICADE WW second quarter 2015 and 2014 then six months 2015 and 2014, USD millions, percentage-change columns omitted | 1,668 | 1,804 | 3,268 | 3,414",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1668.0
2015Q3,1613.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q3/Sales_of_Key_Products_Franchises_3Q2015.pdf,"REMICADE WW third quarter 2015 and 2014 then nine months 2015 and 2014, USD millions, percentage-change columns omitted | 1,613 | 1,782 | 4,881 | 5,196",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1613.0
2015Q4,1680.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q4/Sales_of_Key_Products_Franchises_4Q2015.pdf,"REMICADE WW fourth quarter 2015 and 2014 then twelve months 2015 and 2014, USD millions, percentage-change columns omitted | 1,680 | 1,672 | 6,561 | 6,868",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1680.0
2016Q1,1779.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q1/Sales_of_Key_Products_Franchises_1Q2016.pdf,"REMICADE WW first quarter 2016 and 2015, USD millions, percentage-change columns omitted | 1,779 | 1,600",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1779.0
2016Q2,1780.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q2/Sales_of_Key_Products_Franchises_2Q2016.pdf,"REMICADE WW second quarter 2016 and 2015 then six months 2016 and 2015, USD millions, percentage-change columns omitted | 1,780 | 1,668 | 3,559 | 3,268",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1780.0
2016Q3,1783.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q3/Sales_of_Key_Products_Franchises_3Q2016.pdf,"REMICADE WW third quarter 2016 and 2015 then nine months 2016 and 2015, USD millions, percentage-change columns omitted | 1,783 | 1,613 | 5,342 | 4,881",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1783.0
2016Q4,1624.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q4/Sales_of_Key_Products_Franchises_4Q2016.pdf,"REMICADE WW fourth quarter 2016 and 2015 then twelve months 2016 and 2015, USD millions, percentage-change columns omitted | 1,624 | 1,680 | 6,966 | 6,561",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,1624.0
