period,value_reported,source_url,source_quote,derivation,context,source_type,source_unit,source_value_reported
2014Q3,300.0,https://s203.q4cdn.com/636242992/files/doc_financials/2014/q3/Sales_of_Key_Products_Franchises_3Q2014.pdf,"SIMPONI/SIMPONI ARIA WW third quarter 2014 and 2013 then nine months 2014 and 2013, USD millions, percentage-change columns omitted | 300 | 266 | 841 | 678",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,300.0
2014Q4,346.0,https://s203.q4cdn.com/636242992/files/doc_financials/2014/q4/Sales_of_Key_Products_Franchises_4Q2014.pdf,"SIMPONI/SIMPONI ARIA WW fourth quarter 2014 and 2013 then twelve months 2014 and 2013, USD millions, percentage-change columns omitted | 346 | 254 | 1,187 | 932",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,346.0
2015Q1,300.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q1/Sales_of_Key_Products_Franchises_1Q2015.pdf,"SIMPONI / SIMPONI ARIA WW first quarter 2015 and 2014, USD millions, percentage-change columns omitted | 300 | 259",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,300.0
2015Q2,308.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q2/Sales_of_Key_Products_Franchises_2Q2015.pdf,"SIMPONI / SIMPONI ARIA WW second quarter 2015 and 2014 then six months 2015 and 2014, USD millions, percentage-change columns omitted | 308 | 282 | 608 | 541",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,308.0
2015Q3,380.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q3/Sales_of_Key_Products_Franchises_3Q2015.pdf,"SIMPONI/SIMPONIARIA WW third quarter 2015 and 2014 then nine months 2015 and 2014, USD millions, percentage-change columns omitted | 380 | 300 | 988 | 841",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,380.0
2015Q4,340.0,https://s203.q4cdn.com/636242992/files/doc_financials/2015/q4/Sales_of_Key_Products_Franchises_4Q2015.pdf,"SIMPONI / SIMPONI ARIA WW fourth quarter 2015 and 2014 then twelve months 2015 and 2014, USD millions, percentage-change columns omitted | 340 | 346 | 1,328 | 1,187",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,340.0
2016Q1,390.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q1/Sales_of_Key_Products_Franchises_1Q2016.pdf,"SIMPONI / SIMPONI ARIA WW first quarter 2016 and 2015, USD millions, percentage-change columns omitted | 390 | 300",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,390.0
2016Q2,448.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q2/Sales_of_Key_Products_Franchises_2Q2016.pdf,"SIMPONI/SIMPONIARIA WW second quarter 2016 and 2015 then six months 2016 and 2015, USD millions, percentage-change columns omitted | 448 | 308 | 838 | 608",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,448.0
2016Q3,481.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q3/Sales_of_Key_Products_Franchises_3Q2016.pdf,"SIMPONI / SIMPONI ARIA WW third quarter 2016 and 2015 then nine months 2016 and 2015, USD millions, percentage-change columns omitted | 481 | 380 | 1,319 | 988",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,481.0
2016Q4,426.0,https://s203.q4cdn.com/636242992/files/doc_financials/2016/q4/Sales_of_Key_Products_Franchises_4Q2016.pdf,"SIMPONI / SIMPONI ARIA WW fourth quarter 2016 and 2015 then twelve months 2016 and 2015, USD millions, percentage-change columns omitted | 426 | 340 | 1,745 | 1,328",direct_reported,"J&J states this product on its own line of the quarterly Sales of Key Products/Franchises schedule, in US, Intl and WW rows. The WW row is the one recorded - J&J sums unrounded regional figures and rounds once, so US + Intl need not equal the worldwide line it states. The first figure on the WW row is the quarter the schedule heads as current; the second is the prior-year comparative and is never read.",company_ir,millions,426.0
