period,value_reported,source_url,source_quote,derivation,context
2016Q1,292,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q2/Actelion_Historical_Sales_Schedule.pdf,"TRACLEER US 81 84 79 86 91 120 376 Intl 117 140 150 164 173 172 659 WW 198 224 229 250 264 292 1,035",direct_jnj_retrospective_table,"Historical Actelion Sales (Unaudited), in US Dollars. Columns run 2017 Q2 through 6/15, 2017 Q1, then 2016 Q4, Q3, Q2, Q1 and Full Year."
2016Q2,264,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q2/Actelion_Historical_Sales_Schedule.pdf,"TRACLEER US 81 84 79 86 91 120 376 Intl 117 140 150 164 173 172 659 WW 198 224 229 250 264 292 1,035",direct_jnj_retrospective_table,"Historical Actelion Sales (Unaudited), in US Dollars. Columns run 2017 Q2 through 6/15, 2017 Q1, then 2016 Q4, Q3, Q2, Q1 and Full Year."
2016Q3,250,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q2/Actelion_Historical_Sales_Schedule.pdf,"TRACLEER US 81 84 79 86 91 120 376 Intl 117 140 150 164 173 172 659 WW 198 224 229 250 264 292 1,035",direct_jnj_retrospective_table,"Historical Actelion Sales (Unaudited), in US Dollars. Columns run 2017 Q2 through 6/15, 2017 Q1, then 2016 Q4, Q3, Q2, Q1 and Full Year."
2016Q4,229,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q2/Actelion_Historical_Sales_Schedule.pdf,"TRACLEER US 81 84 79 86 91 120 376 Intl 117 140 150 164 173 172 659 WW 198 224 229 250 264 292 1,035",direct_jnj_retrospective_table,"Historical Actelion Sales (Unaudited), in US Dollars. Columns run 2017 Q2 through 6/15, 2017 Q1, then 2016 Q4, Q3, Q2, Q1 and Full Year."
2017Q1,224,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q2/Actelion_Historical_Sales_Schedule.pdf,"TRACLEER US 81 84 79 86 91 120 376 Intl 117 140 150 164 173 172 659 WW 198 224 229 250 264 292 1,035",direct_jnj_retrospective_table,"Historical Actelion Sales (Unaudited), in US Dollars. Columns run 2017 Q2 through 6/15, 2017 Q1, then 2016 Q4, Q3, Q2, Q1 and Full Year."
2017Q2,224,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q2/Actelion_Historical_Sales_Schedule.pdf,"TRACLEER US 81 84 79 86 91 120 376 Intl 117 140 150 164 173 172 659 WW 198 224 229 250 264 292 1,035; TRACLEER US 71 2 * * - 139 2 * * - Intl 72 24 144 24 WW 143 26 * * * 283 26 * * *; acquisition bridge: 198 pre-close + 26 post-close = 224 USD million.",acquisition_bridge_sum,"Historical Actelion Sales (Unaudited), in US Dollars. Columns run 2017 Q2 through 6/15, 2017 Q1, then 2016 Q4, Q3, Q2, Q1 and Full Year. This quarter is the 198 of that column plus the 26 J&J reports for its own June 16 - July 2 stub, which its 2Q2018 schedule states as the 2017 comparative (TRACLEER WW 143 26)."
2017Q3,210,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q3/Sales_of_Key_Products_Franchises_3Q2017.pdf,"TRACLEER WW third quarter 2017 and 2016 then nine months 2017 and 2016, USD millions, percentage-change columns omitted | 210 | - | 236 | -",direct_reported,J&J's own schedule states US 83 - 85 - and Intl 127 - 151 - on the same block. Prior-year columns are dashes: J&J acquired Actelion on 16 June 2017.
2017Q4,167,https://s203.q4cdn.com/636242992/files/doc_financials/2017/q4/Sales_of_Key_Products_Franchises_4Q2017.pdf,"TRACLEER WW fourth quarter 2017 and 2016 then twelve months 2017 and 2016, USD millions, percentage-change columns omitted | 167 | - | 403 | -",direct_reported,"J&J's own schedule states US 76 - 161 - and Intl 91 - 242 - on the same block. The 403 twelve-month figure covers 16 June - 31 December 2017 only, and equals the 26 stub plus 210 plus 167."
2018Q1,140,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q1/Sales_of_Key_Products_Franchises_1Q2018.pdf,"TRACLEER WW first quarter 2018 and 2017, USD millions, percentage-change columns omitted | 140 | -",direct_reported,J&J's own schedule states US 68 - and Intl 72 - on the same block. The 2017 comparative is a dash: J&J did not own the product in 1Q2017.
2018Q2,143,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q2/Sales_of_Key_Products_Franchises_2Q2018.pdf,"TRACLEER WW second quarter 2018 and 2017 then six months 2018 and 2017, USD millions, percentage-change columns omitted | 143 | 26 | 283 | 26",direct_reported,J&J's own schedule states US 71 2 139 2 and Intl 72 24 144 24 on the same block. The 26 prior-year figure is the 16-30 June 2017 stub J&J owned.
2018Q3,139,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q3/3Q2018_Sales_of_Key_Products_Franchises_3Q2018.pdf,"TRACLEER WW third quarter 2018 and 2017 then nine months 2018 and 2017, USD millions, percentage-change columns omitted | 139 | 210 | 422 | 236",direct_reported,J&J's own schedule states US 69 83 208 85 and Intl 70 127 214 151 on the same block.
2018Q4,124,https://s203.q4cdn.com/636242992/files/doc_financials/2018/q4/Sales-of-Key-Products-Franchises-4Q2018.pdf,"TRACLEER WW fourth quarter 2018 and 2017 then twelve months 2018 and 2017, USD millions, percentage-change columns omitted | 124 | 167 | 546 | 403",direct_reported,J&J's own schedule states US 60 76 268 161 and Intl 64 91 278 242 on the same block. The 546 is J&J's stated FY2018 worldwide total.
2019Q1,117,https://s203.q4cdn.com/636242992/files/doc_financials/2019/q1/1Q19-Press-Release-with-attachments.pdf,"TRACLEER WW first quarter 2019 and 2018, USD millions, percentage-change columns omitted | 117 | 140",direct_reported,J&J's own schedule states US 61 68 and Intl 56 72 on the same block.
2019Q2,103,https://s203.q4cdn.com/636242992/files/doc_financials/2019/q2/Sales-of-Key-Products-Franchises-2Q2019.pdf,"TRACLEER WW second quarter 2019 and 2018 then six months 2019 and 2018, USD millions, percentage-change columns omitted | 103 | 143 | 220 | 283",direct_reported,J&J's own schedule states US 41 71 102 139 and Intl 62 72 118 144 on the same block.
2019Q3,65,https://s203.q4cdn.com/636242992/files/doc_financials/2019/q3/Sales-of-Key-Products-Franchises-3Q2019.pdf,"TRACLEER WW third quarter 2019 and 2018 then nine months 2019 and 2018, USD millions, percentage-change columns omitted | 65 | 139 | 285 | 422",direct_reported,"J&J's own schedule states US 19 69 121 208 and Intl 46 70 164 214 on the same block. The line is headed TRACLEER / bosentan from this quarter, reflecting generic entry; it is still the same product line."
2019Q4,56,https://s203.q4cdn.com/636242992/files/doc_financials/2019/q4/Sales-of-Key-Products-Franchises-4Q2019.pdf,"TRACLEER WW fourth quarter 2019 and 2018 then twelve months 2019 and 2018, USD millions, percentage-change columns omitted | 56 | 124 | 341 | 546",direct_reported,"J&J's own schedule states US 10 60 131 268 and Intl 46 64 210 278 on the same block. The 341 is J&J's stated FY2019 worldwide total, and the last one: from 2020Q1 J&J folds Tracleer into Other PAH."
