period,value_reported,source_url,source_quote,derivation,context
2017Q4,525.2,https://www.sec.gov/Archives/edgar/data/59478/000005947818000028/q417lillysalesandearningsp.htm,"Alimta worldwide revenue, fourth quarter 2017 and 2016 then twelve months 2017 and 2016, USD millions, percentage-change columns omitted | 525.2 | 541.6 | 2,062.5 | 2,283.3",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2018Q1,499.6,https://www.sec.gov/Archives/edgar/data/59478/000005947818000133/q118lillysalesandearning.htm,"Alimta worldwide revenue, first quarter 2018 and 2017, USD millions, percentage-change column omitted | 499.6 | 489.9",direct_reported,"The first-quarter 2018 release is filed as slide-style HTML with no table markup, so the Selected Revenue Highlights table reaches a text reader as one run of words and figures in row order: label, quarter, prior-year quarter, percentage change. The figures are the same table."
2018Q2,555.9,https://www.sec.gov/Archives/edgar/data/59478/000005947818000186/q218lillysalesandearningsp.htm,"Alimta worldwide revenue, second quarter 2018 and 2017 then six months 2018 and 2017, USD millions, percentage-change columns omitted | 555.9 | 532.9 | 1,055.5 | 1,022.8",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2018Q3,520.5,https://www.sec.gov/Archives/edgar/data/59478/000005947818000253/q318lillysalesandearningsp.htm,"Alimta worldwide revenue, third quarter 2018 and 2017 then nine months 2018 and 2017, USD millions, percentage-change columns omitted | 520.5 | 514.5 | 1,576.0 | 1,537.3",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2018Q4,556.9,https://www.sec.gov/Archives/edgar/data/59478/000005947819000044/q418lillysalesandearningsp.htm,"Alimta worldwide revenue, fourth quarter 2018 and 2017 then twelve months 2018 and 2017, USD millions, percentage-change columns omitted | 556.9 | 525.2 | 2,132.9 | 2,062.5",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2019Q1,499.2,https://www.sec.gov/Archives/edgar/data/59478/000005947819000171/q119lillysalesandearningsp.htm,"Alimta worldwide revenue, first quarter 2019 and 2018, USD millions, percentage-change column omitted | 499.2 | 499.6",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2019Q2,577.8,https://www.sec.gov/Archives/edgar/data/59478/000005947819000228/q219lillysalesandearningsp.htm,"Alimta worldwide revenue, second quarter 2019 and 2018 then six months 2019 and 2018, USD millions, percentage-change columns omitted | 577.8 | 555.9 | 1,076.9 | 1,055.5",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2019Q3,508.2,https://www.sec.gov/Archives/edgar/data/59478/000005947819000269/q319lillysalesandearni.htm,"Alimta worldwide revenue, third quarter 2019 and 2018 then nine months 2019 and 2018, USD millions, percentage-change columns omitted | 508.2 | 520.5 | 1,585.1 | 1,576.0",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2019Q4,530.7,https://www.sec.gov/Archives/edgar/data/59478/000005947820000012/q419lillysalesandearni.htm,"Alimta worldwide revenue, fourth quarter 2019 and 2018 then twelve months 2019 and 2018, USD millions, percentage-change columns omitted | 530.7 | 556.9 | 2,115.8 | 2,132.9",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2020Q1,560.1,https://www.sec.gov/Archives/edgar/data/59478/000005947820000100/q120lillysalesandearningsp.htm,"Alimta worldwide revenue, first quarter 2020 and 2019, USD millions, percentage-change column omitted | 560.1 | 499.2",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
