period,value_reported,source_url,source_quote,derivation,context
2017Q4,23,https://www.sec.gov/Archives/edgar/data/59478/000005947818000028/q417lillysalesandearningsp.htm,"Olumiant worldwide revenue, fourth quarter 2017 and 2016 then twelve months 2017 and 2016, USD millions, percentage-change columns omitted | 23.0 | - | 45.9 | -",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2018Q1,32.2,https://www.sec.gov/Archives/edgar/data/59478/000005947818000133/q118lillysalesandearning.htm,"Olumiant worldwide revenue, first quarter 2018 and 2017, USD millions, percentage-change column omitted | 32.2 | 1.9",direct_reported,"The first-quarter 2018 release is filed as slide-style HTML with no table markup, so the Selected Revenue Highlights table reaches a text reader as one run of words and figures in row order: label, quarter, prior-year quarter, percentage change. The figures are the same table."
2018Q2,44.7,https://www.sec.gov/Archives/edgar/data/59478/000005947818000186/q218lillysalesandearningsp.htm,"Olumiant worldwide revenue, second quarter 2018 and 2017 then six months 2018 and 2017, USD millions, percentage-change columns omitted | 44.7 | 4.8 | 76.9 | 6.6",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2018Q3,55.6,https://www.sec.gov/Archives/edgar/data/59478/000005947818000253/q318lillysalesandearningsp.htm,"Olumiant worldwide revenue, third quarter 2018 and 2017 then nine months 2018 and 2017, USD millions, percentage-change columns omitted | 55.6 | 16.2 | 132.5 | 22.8",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2018Q4,70.1,https://www.sec.gov/Archives/edgar/data/59478/000005947819000044/q418lillysalesandearningsp.htm,"Olumiant worldwide revenue, fourth quarter 2018 and 2017 then twelve months 2018 and 2017, USD millions, percentage-change columns omitted | 70.1 | 23.0 | 202.5 | 45.9",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2019Q1,82.1,https://www.sec.gov/Archives/edgar/data/59478/000005947819000171/q119lillysalesandearningsp.htm,"Olumiant worldwide revenue, first quarter 2019 and 2018, USD millions, percentage-change column omitted | 82.1 | 32.2",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2019Q2,102.4,https://www.sec.gov/Archives/edgar/data/59478/000005947819000228/q219lillysalesandearningsp.htm,"Olumiant worldwide revenue, second quarter 2019 and 2018 then six months 2019 and 2018, USD millions, percentage-change columns omitted | 102.4 | 44.7 | 184.5 | 76.9",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2019Q3,114.6,https://www.sec.gov/Archives/edgar/data/59478/000005947819000269/q319lillysalesandearni.htm,"Olumiant worldwide revenue, third quarter 2019 and 2018 then nine months 2019 and 2018, USD millions, percentage-change columns omitted | 114.6 | 55.6 | 299.1 | 132.5",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2019Q4,127.8,https://www.sec.gov/Archives/edgar/data/59478/000005947820000012/q419lillysalesandearni.htm,"Olumiant worldwide revenue, fourth quarter 2019 and 2018 then twelve months 2019 and 2018, USD millions, percentage-change columns omitted | 127.8 | 70.1 | 426.9 | 202.5",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
2020Q1,139.7,https://www.sec.gov/Archives/edgar/data/59478/000005947820000100/q120lillysalesandearningsp.htm,"Olumiant worldwide revenue, first quarter 2020 and 2019, USD millions, percentage-change column omitted | 139.7 | 82.1",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on."
