period,value_reported,source_url,source_quote,derivation,context
2023Q4,175.8,https://www.sec.gov/Archives/edgar/data/59478/000005947824000032/q423lillysalesandearningsp.htm,"Zepbound worldwide revenue, fourth quarter 2023 and 2022 then twelve months 2023 and 2022, USD millions, percentage-change columns omitted | 175.8 | - | 175.8 | -",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2024Q1,517.4,https://www.sec.gov/Archives/edgar/data/59478/000005947824000116/q124lillysalesandearningsp.htm,"Zepbound worldwide revenue, first quarter 2024 and 2023, USD millions, percentage-change column omitted | 517.4 | -",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2024Q2,1243.2,https://www.sec.gov/Archives/edgar/data/59478/000005947824000185/q224lillysalesandearningsp.htm,"Zepbound worldwide revenue, second quarter 2024 and 2023 then six months 2024 and 2023, USD millions, percentage-change columns omitted | 1,243.2 | - | 1,760.6 | -",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2024Q3,1257.8,https://www.sec.gov/Archives/edgar/data/59478/000005947824000242/q324lillysalesandearningsp.htm,"Zepbound worldwide revenue, third quarter 2024 and 2023 then nine months 2024 and 2023, USD millions, percentage-change columns omitted | 1,257.8 | - | 3,018.4 | -",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2024Q4,1907.2,https://www.sec.gov/Archives/edgar/data/59478/000005947825000037/q424lillysalesandearningsp.htm,"Zepbound worldwide revenue, fourth quarter 2024 and 2023 then twelve months 2024 and 2023, USD millions, percentage-change columns omitted | 1,907.2 | 175.8 | 4,925.7 | 175.8",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2025Q1,2311.9,https://www.sec.gov/Archives/edgar/data/59478/000005947825000129/q125lillysalesandearningsp.htm,"Zepbound worldwide revenue, first quarter 2025 and 2024, USD millions, percentage-change column omitted | 2,311.9 | 517.4",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2025Q2,3381.4,https://www.sec.gov/Archives/edgar/data/59478/000005947825000202/q225lillysalesandearningsp.htm,"Zepbound worldwide revenue, second quarter 2025 and 2024 then six months 2025 and 2024, USD millions, percentage-change columns omitted | 3,381.4 | 1,243.2 | 5,693.3 | 1,760.6",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2025Q3,3588.1,https://www.sec.gov/Archives/edgar/data/59478/000005947825000251/q325lillysalesandearningsp.htm,"Zepbound worldwide revenue, third quarter 2025 and 2024 then nine months 2025 and 2024, USD millions, percentage-change columns omitted | 3,588.1 | 1,257.8 | 9,281.3 | 3,018.4",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2025Q4,4261,https://www.sec.gov/Archives/edgar/data/59478/000005947826000008/q425lillysalesandearningsp.htm,"Zepbound worldwide revenue, fourth quarter 2025 and 2024 then twelve months 2025 and 2024, USD millions, percentage-change columns omitted | 4,261 | 1,907 | 13,542 | 4,926",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2026Q1,4160,https://www.sec.gov/Archives/edgar/data/59478/000005947826000043/q126lillysalesandearningsp.htm,"Zepbound worldwide revenue, first quarter 2026 and 2025, USD millions, percentage-change column omitted | 4,160 | 2,312",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
2026Q2,4928,https://www.sec.gov/Archives/edgar/data/59478/000005947826000077/q226lillysalesandearningsp.htm,"Zepbound worldwide revenue, second quarter 2026 and 2025 then six months 2026 and 2025, USD millions, percentage-change columns omitted | 4,928 | 3,381 | 9,088 | 5,693",direct_reported,"Lilly states this product on its own line of the Selected Revenue Highlights table of the quarterly earnings release filed as an 8-K exhibit; the line is worldwide revenue, and the columns are the quarter, the same quarter a year earlier, a percentage change, and from the second quarter on a year-to-date block laid out the same way (labelled Full Year in the fourth-quarter release). Values are printed to a tenth of a million through the third-quarter 2025 release and in whole millions from the fourth-quarter 2025 release on. Zepbound is tirzepatide marketed for obesity; the 10-Q's U.S. and outside-U.S. split confirms the line is worldwide, almost all of it U.S."
