period,value_reported,source_url,source_quote,derivation
2024Q1,70,https://www.merck.com/wp-content/uploads/sites/124/2026/02/4Q25-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 280 | 336 | 360 | 467 | 1,443 | 70 | 149 | 200 | 419 (2025 Q1-Q4/FY followed by 2024 Q1-Q4/FY; USD millions)",direct_prior_year_schedule
2024Q2,149,https://www.merck.com/wp-content/uploads/sites/124/2026/02/4Q25-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 280 | 336 | 360 | 467 | 1,443 | 70 | 149 | 200 | 419 (2025 Q1-Q4/FY followed by 2024 Q1-Q4/FY; USD millions)",direct_prior_year_schedule
2024Q3,200,https://www.merck.com/wp-content/uploads/sites/124/2026/02/4Q25-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 280 | 336 | 360 | 467 | 1,443 | 70 | 149 | 200 | 419 (2025 Q1-Q4/FY followed by 2024 Q1-Q4/FY; USD millions)",direct_prior_year_schedule
2024Q4,419,https://www.merck.com/wp-content/uploads/sites/124/2026/02/4Q25-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 280 | 336 | 360 | 467 | 1,443 | 70 | 149 | 200 | 419 (2025 Q1-Q4/FY followed by 2024 Q1-Q4/FY; USD millions)",direct_prior_year_schedule
2025Q1,280,https://www.merck.com/wp-content/uploads/sites/124/2026/02/4Q25-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 280 | 336 | 360 | 467 | 1,443 | 70 | 149 | 200 | 419 (2025 Q1-Q4/FY followed by 2024 Q1-Q4/FY; USD millions)",direct_reported
2025Q2,336,https://www.merck.com/wp-content/uploads/sites/124/2026/02/4Q25-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 280 | 336 | 360 | 467 | 1,443 | 70 | 149 | 200 | 419 (2025 Q1-Q4/FY followed by 2024 Q1-Q4/FY; USD millions)",direct_reported
2025Q3,360,https://www.merck.com/wp-content/uploads/sites/124/2026/02/4Q25-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 280 | 336 | 360 | 467 | 1,443 | 70 | 149 | 200 | 419 (2025 Q1-Q4/FY followed by 2024 Q1-Q4/FY; USD millions)",direct_reported
2025Q4,467,https://www.merck.com/wp-content/uploads/sites/124/2026/02/4Q25-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 280 | 336 | 360 | 467 | 1,443 | 70 | 149 | 200 | 419 (2025 Q1-Q4/FY followed by 2024 Q1-Q4/FY; USD millions)",direct_reported
2026Q1,525,https://www.merck.com/wp-content/uploads/sites/124/2026/08/2Q26-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 525 | 588 | 1,114 | 280 | 336 | 615 | 360 | 467 | 1,443 (2026 Q1-Q2/H1 followed by 2025 comparators; USD millions)",direct_reported
2026Q2,588,https://www.merck.com/wp-content/uploads/sites/124/2026/08/2Q26-Merck-Other-Financial-Disclosures.pdf,"Winrevair | 525 | 588 | 1,114 | 280 | 336 | 615 | 360 | 467 | 1,443 (2026 Q1-Q2/H1 followed by 2025 comparators; USD millions)",direct_reported
